# http://alluvian.simplenet.com/projects/sounds.zip
# This file is as of yet, incomplete.
# The sounds are numbered, both in hexadecimal format,
# As well as Decimal (I do not think any other format
# Will be needed anytime soon) The descriptions are
# The best ones I have done at the time, once I have
# Finished adding all the sounds, I will go back through
# Them again, and improve or change them :p
# Feel free to remove this commentary to make the file
# Easier to search through
#
# Hex     Decimal     Description
#------ ----------- ---------------
0128   296         Footstep (cobblestone/tile)
0129   297         Footstep (grass)
012A   298         Footstep (grass)
012B   299         Footstep (plain dirt)
012C   300         Footstep (plain dirt)
012D   301         Footstep (thick underbrush)
012E   302         Footstep (thick underbrush)
012F   303         Footstep (wooden or stone floor)
0130   304         Footstep (wooden or stone floor)
0131   305         Footstep (puddle/water)
0132   306         Footstep (puddle/water)
0133   307         Footstep (swamp)
0134   308         Footstep (swamp)
0135   309         Punching sound (hit)
0136   310         Punching sound (practice dummy)
0137   311         Punching sound (hit)
0138   312         Punching sound (practice dummy)
0139   313         Punching sound (practice dummy)
013A   314         Punching sound (miss)
013B   315         Punching sound (hit)
013C   316         Punching sound (miss/hit)
013D   317         Punching sound (hit)
013E   318         Punching sound (practice dummy)
013F   319         Punching sound (practice dummy)
0140   320         Punching sound (metallic)
0141   321         Punching sound (hit)
0142   322         Hammering sound (wood?)
0143   323         Metallic echo (missed punch?)
0144   324         Wooden item dropped (heavy)
0145   325         Punching sound (hit)
0146   326         Metallic echo (lighter, missed punch?)
0147   327         Punching sound (hit)
0148   328         Punching sound (practice dummy)
0149   329         Metallic echo (faint, missed punch?)
014A   330         Punching sound (hit)
014B   331         Human injured (female)
014C   332         Human injured (female)
014D   333         Human injured (female)
014E   334         Human injured (seriously? female)
014F   335         Human injured (female)
0150   336         Human death cry (female)
0151   337         Human death cry (female)
0152   338         Bird/Insect death cry
0153   339         Human injured (male/female)
0154   340         Human injured (male)
0155   341         Human injured (male)
0156   342         Human injured (male)
0157   343         Human injured (serious, male)
0158   344         Human injured (male)
0159   345         Human injured (male)
015A   346         Human death cry (male)
015B   347         Human death cry (male)
015C   348         Human death cry (male)
015D   349         Human death cry (male)
015E   350         Fire (fireball?)
015F   351         Fire (flamewall?)
0160   352         Fire (flamewall? shorter)
0161   353         Giant Spider (?)
0162   354         Ginat Spider (?)
0163   355         Giant Spider attacking
0164   356         Giant Spider injured
0165   357         Giant Spider death cry (?)
0166   358         Dragon
0167   359         Dragon Grunting
0168   360         Dragon attacking
0169   361         Dragon injured
016A   362         Dragon death cry
016B   363         Dragon
016C   364         Dragon angry
016D   365         Dragon injured
016E   366         Dragon seriously injured
016F   367         Dragon death cry
0170   368         Troll/Ogre (muttering)
0171   369         Troll/Ogre (grunting)
0172   370         Troll/Ogre (injured/attacking)
0173   371         Troll/Ogre (seriously injured)
0174   372         Monster spellcasting (speach)
0175   373         Monster spellcasting (chanting)
0176   374         Orc (speach)
0177   375         Orc (whining/grunting)
0178   376         Orc (injured/attacking)
0179   377         Spectre
017A   378         Spectre (general noise)
017B   379         Spectre (attack)
017C   380         Spectre (injured)
017D   381         Spectre death cry
017E   382         Wolf howl (brief)
017F   383         Jungle (creepy nighttime sounds)
0180   384         Bird cries (at night)
0181   385         Monster howling in the distance, at night
0182   386         Multiple background sounds, at night
0183   387         Frogs croaking at night
0184   388         Crickets/frogs at night
0185   389         Snake hissing at night
0186   390         Splash at night (background noises)
0187   391         Monster moving through trees at night
0188   392         Squeaking sound & monster growls at night
0189   393         Mouse (generic)
018A   394         Mouse (squeek)
018B   395         Mouse (attacking/injured)
018C   396         Mouse death cry (background monster sounds)
018D   397         General swamp/jungle sounds
018E   398         General swamp/jungle sounds
018F   399         General swamp/jungle sounds
0190   400         Something moving through swamp/jungle
0191   401         Creature hissing in jungle/swamp
0192   402         Bird cawing in jungle/swamp
0193   403         Bird/Cat in swamp/jungle
0194   404         Hawk (generic)
0195   405         Hawk
0196   406         Hawk (attacking/injured)
0197   407         Pig (generic)
0198   408         Pig
0199   409         Pig (injured/attacking)
019A   410         Pig (injured)
019B   411         Pig death cry
019C   412         Lich Evil(?) laughter (monster/mage?)
019D   413         Lich Spellcasting (chanting, evil sounding)
019E   414         Lich Monster (slime?) gurgle/grunt
019F   415         Lich Sound of suprise (monster)
01A0   416         Lich Spellcasting/chanting (monster)
01A1   417         Lizardman (monster)
01A2   418         Lizardman Spell effects (monster, instable, failure?)
01A3   419         Lizardman Scream/gasp of suprise (monster)
01A4   420         Lizardman Gasp of pain (monster)
01A5   421         Lizardman Muttering (monster)
01A6   422         Giant Rat (generic)
01A7   423         Giant Rat (being hit?)
01A8   424         Giant Rat (attacking)
01A9   425         Giant Rat (injured)
01AA   426         Giant Rat death cry
01AB   427         Ettin (generic)
01AC   428         Ettin (muttering)
01AD   429         Ettin (attacking)
01AE   430         Ettin (injured)
01AF   431         Ettin death cry
01B0   432         Orc (generic)
01B1   433         Orc (grunting)
01B2   434         Orc (injured/attacking)
01B3   435         Orc (injured)
01B4   436         Orc death cry
01B5   437         Rat man (generic)
01B6   438         Rat man (squeaking)
01B7   439         Rat man (attacking)
01B8   440         Rat man (injured)
01B9   441         Rat man death cry
01BA   442         Giant snake (generic)
01BB   443         Giant snake (hiss/rattle)
01BC   444         Giant snake (attacking)
01BD   445         Giant snake (injured)
01BE   446         Giant snake death cry
01BF   447         Sea serpent (generic)
01C0   448         Sea serpent (howling/attacking)
01C1   449         Sea serpent (howling/injured)
01C2   450         Sea serpent death cry
01C3   451         Skeleton (generic)
01C4   452         Skeleton (creaking)
01C5   453         Skeleton (attacking)
01C6   454         Skeleton (injured)
01C7   455         Skeleton destryoed
01C8   456         Slime (generic)
01C9   457         Slime (oosing)
01CA   458         Slime (attacking)
01CB   459         Slime (injured)
01CC   460         Slime death cry
01CD   461         Headless (generic)
01CE   462         Headless (moaning)
01CF   463         Headless (attacking)
01D0   464         Headless (injured)
01D1   465         headless death cry
01D2   466         Wisp (generic)
01D3   467         Wisp (errie)
01D4   468         Wisp (attacking)
01D5   469         Wisp (injured)
01D6   470         Wisp destroyed
01D7   471         Zombie (generic)
01D8   472         Zombie (moaning)
01D9   473         Zombie (attacking)
01DA   474         Zombie (injured)
01DB   475         Zombie destroyed
01DC   476         Lightning Field
01DD   477         Fire Field
01DE   478         Poison field
01DF   479         Teleport (trigger) sound
01E0   480         Spellcasting (failure?)
01E1   481         Spellcasting (drawing mana?)
01E2   482         Spell effect (detection)
01E3   483         Spell effect (wearing off/affection)
01E4   484         Teleport (appear sound)
01E5   485         Spell effect (spell cast)
01E6   486         Spell effect (something? summoned/created)
01E7   487         Spell effect (heal/resurrect?)
01E8   488         Spell effect (errie/gothic)
01E9   489         Spell effect (errie/gothic)
01EA   490         Spell effect (echoing)
01EB   491         Spell effect (summon/raise dead?)
01EC   492         Spell effect (circle 1 or two spell?)
01ED   493         Spell effect (failure?)
01EE   494         Spell effect (teleport?)
01EF   495         Spell effect/trap
01F0   496         Spell effect/trap
01F1   497         Spell effect (hollow sounding)
01F2   498         Spell effect (holy/angelic)
01F3   499         Spell effect (magic w/ fire field?)
01F4   500         Spell effect (unlock?)
01F5   501         Spell effect (transfer something?)
01F6   502         Spell effect (necromancy?)
01F7   503         Spell effect (nature magic?)
01F8   504         Magical (wisp/undead detected?)
01F9   505         Magical (see above, longer)
01FA   506         Magical (failure?)
01FB   507         Magical (can't target?)
01FC   508         Magical (item created?)
01FD   509         Magical (wispy/long)
01FE   510         Teleport (again)
01FF   511         Unlock w/ Gold & coin sounds
0200   512         Thrown (weapon) with magical background
0201   513         Single deep note (echoing) with magical effect
0202   514         Spell effect (holy/angelic)
0203   515         Spell/magic effect (generic)
0204   516         Spell/magic effect (wearing off/disipating)
0205   517         Magical effect (errie)
0206   518         Thunder
0207   519         Thunder (deeper)
0208   520         Fireball (quick)
0209   521         Spell effect (echoing)
020A   522         Spell effect (splashing)
020B   523         Piano roll
020C   524         Errie echo
020D   525         Muted explosion
020E   526         Muted echoing vanishing sound
020F   527         Magical (increasing echoing notes)
0210   528         Spell effect (affection cast?)
0211   529         Spell effect (lighting field worn off?)
0212   530         Magical (semi-random noise)
0213   531         Magical (magical trap?)
0214   532         Magical (powering up/summoning)
0215   533         Magical/Special (event?)
0216   534         Errie Sound (echoing)
0217   535         Errie Sound (fading in/out echoing)
0218   536         Corpser (generic)
0219   537         Corpser (shrieking)
021A   538         Corpser (attacking)
021B   539         Corpser (injured)
021C   540         Corpser (death cry)
021D   541         Thunder/Earthquake
021E   542         Thunder/Earthquake
021F   543         Thunder/Earthquake
0220   544         Thunder/Earthquake
0221   545         Thunder/Earthquake
0222   546         Thunder/Earthquake 
0223   547         Arrow/Bolt leaving bow/crossbow?
0224   548         Arrow/Bolt hitting (practice target)
0225   549         Torch/Brazier/Campfire being lit
0226   550         Torch/Brazier/Campfire failed being lit/going out
0227   551         Blazing hot (noisy) fire
0228   552         Sound of a fireball wizzing by
0229   553         Sound of something (fireball?) hitting target
022A   554         Sound of something (fireball?) hitting target
022B   555         Metal pot/door being used
022C   556         Chest/Door opening w/ echoes
022D   557         Earthquake in town/on ship
022E   558         Earthquake in town/on ship (shorter)
022F   559         Hissing sound
0230   560         Hissing sound (louder/longer)
0231   561         Hissing sound (shorter/fading)
0232   562         Weapon swinging & missing
0233   563         Weapon swinging & missing
0234   564         Crossbow firing
0235   565         Forging sound (hitting anvil w/sparks)
0236   566         Forging sound (hitting anvil)
0237   567         Forging sound (failure?)
0238   568         Weapon swinging & missing
0239   569         Weapon swinging & missing
023A   570         Weapon swinging & missing
023B   571         Forging sound (hitting metal)
023C   572         Forging sound (hitting metal w/echo)
023D   573         Carpentry (hammering/sawing)
023E   574         Filling something with water
023F   575         Dropping something (small) in water (fishing?)
0240   576         Filling something with water
0241   577         Skeleton (or something) breaking apart?
0242   578         Writing on paper/in book
0243   579         Errie sound (?)
0244   580         Errie sound (harps)
0245   581         Errie sound (danger?)
0246   582         Demon or Guardian laughing
0247   583         Writing on paper?
0248   584         Cutting something (cloth?)
0249   585         Working with wood/papaer?
024A   586         Incanting (spellcasting)
024B   587         Horse footsteps?
024C   588         Horse footsteps?
