//
//	Class:	-- none --
//	Set:	attributes
//	Prefix:	DEFMSG_
//

MSG(ANATOMY_DEX_1,						"very clumsy")
MSG(GMPAGE_PROMPT_CANCEL,				"Request aborted.")
MSG(GMPAGE_QUEUE,						"Thank you for paging. Queue status : %d")
MSG(GMPAGE_RECEIVED,					"GM page from %s [0%lx] @ %s: %s")
MSG(GMPAGE_SENT,						"@035 The next available Game Master will respond as soon as possible. Please check your Journal for messages every few minutes.")
MSG(GMPAGE_UPDATED,						"@035 Your existing GM page has been updated.")
MSG(GRANDMASTER_MARK,					"%s crafted by %s")
MSG(HEALING_AM,							"Your resurrection attempt is blocked by antimagic.")
MSG(HEALING_ATTEMPT,					"%s is attempting to apply bandages to %s")
MSG(HEALING_ATTEMPTF,					"%s is attempting to apply bandages to %s, but has failed")
MSG(HEALING_BEYOND,						"This creature is beyond help.")
MSG(HEALING_CORPSEG,					"Put the corpse on the ground.")
MSG(HEALING_CURE_1,						"You cure %s of poisons!")
MSG(HEALING_CURE_2,						"%s has cured you of poisons!")
MSG(HEALING_GHOST,						"You can't heal a ghost! Try healing their corpse.")
MSG(HEALING_HEALTHY,					"You are healthy")
MSG(HEALING_INTERRUPT,					"Your healing was interrupted by the hit!")
MSG(HEALING_NOAIDS,						"Where are your bandages?")
MSG(HEALING_NONCHAR,					"Try healing a creature.")
MSG(HEALING_NONEED,						"%s does not require you to heal or cure them!")
MSG(HEALING_REACH,						"You must be able to reach the target")
MSG(HEALING_SELF,						"apply bandages to self")
MSG(HEALING_TO,							"apply bandages to %s")
MSG(HEALING_TOOFAR,						"You are too far away to apply bandages on %s")
MSG(HEALING_WHO,						"you")
MSG(HEALING_WITEM,						"Use a bandage")
MSG(HERDING_LTARG,						"You lost your target!")
MSG(HERDING_NOCROOK,					"You lost your crook!")
MSG(HERDING_SUCCESS,					"The animal goes where it is instructed")
MSG(HIDING_REVEALED,					"You have been revealed")
MSG(HIDING_STUMBLE,						"You stumble apon %s hidden.")
MSG(HIDING_SUCCESS,						"You have hidden yourself well")
MSG(HIDING_TOOLIT,						"You are too well lit to hide")
MSG(INSCRIPTION_FAIL,					"You have no blank scrolls")
MSG(ITEM_CANTDROPTRADE,					"That item cannot be dropped or traded.")
MSG(ITEM_MAGIC,							" It is magical.")
MSG(ITEM_NEWBIE,						" It has a slight magical aura.")
MSG(ITEM_REPAIR,						" It is not repairable.")
MSG(ITEMID_GOLD,						"You estimate %d gold for '%s'")
MSG(ITEMID_MADEOF,						"It is made of ")
MSG(ITEMID_NOVAL,						"The item does not apear to have any real resale value.")
MSG(ITEMID_RESULT,						"That appears to be '%s'.")
MSG(ITEMUSE_ARCHBUTTE_CLEAN,			"You need to remove what is on the target before you can train here.")
MSG(ITEMUSE_ARCHBUTTE_GATHER,			"You gather the arrows and bolts.")
MSG(ITEMUSE_ARCHBUTTE_HIT1,				"hits the outer ring.")
MSG(ITEMUSE_ARCHBUTTE_HIT2,				"hits the middle ring.")
MSG(ITEMUSE_ARCHBUTTE_HIT3,				"hits the inner ring!")
MSG(ITEMUSE_ARCHBUTTE_HIT4,				"hits the bullseye!")
MSG(ITEMUSE_ARCHBUTTE_MISS,				"misses the target altogether.")
MSG(ITEMUSE_ARCHBUTTE_RANGED,			"You must practice with ranged weapons on this.")
MSG(ITEMUSE_ARCHBUTTE_SKILL,			"You can't learn any more by using an archery butte.")
MSG(ITEMUSE_ARCHBUTTE_TOOCLOSE,			"You are too close to the target.")
MSG(ITEMUSE_ARCHBUTTE_TOOFAR,			"You are too far away from the archery butte to get an accurate shot.")
MSG(ITEMUSE_ARCHBUTTE_WRONGALIGN,		"You aren't properly lined up with the archery butte to get an accurate shot.")
MSG(ITEMUSE_ARCHBUTTE_WRONGPOS,			"You would do better to stand in front of the archery butte.")
MSG(ITEMUSE_BANDAGE_CLEAN,				"Clean bloody bandages in water")
MSG(ITEMUSE_BANDAGE_PROMT,				"What do you want to use this on?")
MSG(ITEMUSE_BANDAGE_REACH,				"You can't reach this.")
MSG(ITEMUSE_BBOARD_COR,					"Corrupt bboard message")
MSG(ITEMUSE_BBOARD_DEL,					"This board message is not yours")
MSG(ITEMUSE_BBOARD_REACH,				"You can't reach the bboard")
MSG(ITEMUSE_BEDROLL,					"Put this on the ground to open it.")
MSG(ITEMUSE_BEEHIVE,					"The hive appears to be unproductive")
MSG(ITEMUSE_BEEHIVE_STING,				"Ouch! Bee sting!")
MSG(ITEMUSE_BOLT_1,						"You start a new bolt of cloth.")
MSG(ITEMUSE_BOLT_2,						"The bolt of cloth needs a good deal more.")
MSG(ITEMUSE_BOLT_3,						"The bolt of cloth needs a little more.")
MSG(ITEMUSE_BOLT_4,						"The bolt of cloth is nearly finished.")
MSG(ITEMUSE_BOLT_5,						"The bolt of cloth is finished.")
MSG(ITEMUSE_BOOK_FAIL,					"The book apears to be ruined!")
MSG(ITEMUSE_BOW_SHIELD,					"Your shield prevents you from using your bow correctly.")
MSG(ITEMUSE_CANNON_EMPTY,				"Feed shot and powder into the cannon muzzle.")
MSG(ITEMUSE_CANNON_HPOWDER,				"The cannon already has powder.")
MSG(ITEMUSE_CANNON_HSHOT,				"The cannon already has shot.")
MSG(ITEMUSE_CANNON_LPOWDER,				"Powder loaded.")
MSG(ITEMUSE_CANNON_LSHOT,				"Shot loaded.")
MSG(ITEMUSE_CANNON_POWDER,				"The cannon needs powder")
MSG(ITEMUSE_CANNON_SHOT,				"The cannon needs shot")
MSG(ITEMUSE_CANNON_TARG,				"Armed and ready. What is the target?")
MSG(ITEMUSE_CANTTHINK,					"You can't think of a way to use that item.")
MSG(ITEMUSE_CANTMOUNTED,				"You cannot use this while mounted.")
MSG(ITEMUSE_CANTMOUNTEDFLYING,			"You cannot use this while mounted or flying.")
MSG(ITEMUSE_CBALL_PROMT,				"What do you want to use the %s on?")
MSG(ITEMUSE_COTTON_CREATE,				"You create some thread.")
MSG(ITEMUSE_CROOK_PROMT,				"What would you like to herd?")
MSG(ITEMUSE_CROOK_TRY,					"Try just picking up inanimate objects")
MSG(ITEMUSE_CROOK_TARGET,				"Where do you want them to go ?")
MSG(ITEMUSE_DYE_FAIL,					"The dye just drips off this.")
MSG(ITEMUSE_DYE_REACH,					"You must have the item in your backpack or on your person.")
MSG(ITEMUSE_DYE_TARG,					"Select the object to use this on.")
MSG(ITEMUSE_DYE_VAT,					"Which dye vat will you use this on?")
MSG(ITEMUSE_FISH_FAIL,					"Use a knife to cut this up")
MSG(ITEMUSE_FISH_UNABLE,				"You can't move this.")
MSG(ITEMUSE_GAMEBOARD_FAIL,				"Can't open game board in a container")
MSG(ITEMUSE_GUILDSTONE_NEW,				"What is the new name?")
MSG(ITEMUSE_JUNK_REACH,					"You can't reach this.")
MSG(ITEMUSE_KEY_FAIL,					"The key must be on your person")
MSG(ITEMUSE_KEY_NOKEY,					"You don't have a key for this.")
MSG(ITEMUSE_KEY_NOLOCK,					"That does not have a lock.")
MSG(ITEMUSE_KEY_PROMT,					"Select item to use the key on.")
MSG(ITEMUSE_KINDLING_CONT,				"You can't light the kindling in a container")
MSG(ITEMUSE_KINDLING_FAIL,				"You fail to ignite the fire.")
MSG(ITEMUSE_LOCKED,						"This item is locked.")
MSG(ITEMUSE_LOG_UNABLE,					"You can't move this.")
MSG(ITEMUSE_LOG_USE,					"Use a dagger on wood to create bows or shafts.")
MSG(ITEMUSE_LOOM,						"Use thread or yarn on looms")
MSG(ITEMUSE_LOOM_REMOVE,				"You remove the previously uncompleted weave.")
MSG(ITEMUSE_MACEPICK_TARG,				"Where do you want to use the %s?")
MSG(ITEMUSE_MULTI_BLOCKED,				"The structure is blocked.")
MSG(ITEMUSE_MULTI_BUMP,					"Terrain is too bumpy to place structure here.")
MSG(ITEMUSE_MULTI_COLLAPSE,				"The structure collapses.")
MSG(ITEMUSE_MULTI_FAIL,					"No building is allowed here.")
MSG(ITEMUSE_MULTI_INTWAY,				"%s is in your way.")
MSG(ITEMUSE_MULTI_SHIPW,				"The ship would not be completely in the water.")
MSG(ITEMUSE_ORE,						"Select the forge on which to smelt the ore, or another pile of ore with which to combine it.")
MSG(ITEMUSE_ORE_COMBINE,				"You cannot combine ores of different metals.")
MSG(ITEMUSE_ORE_TOOFAR,					"The ore is too far away.")
MSG(ITEMUSE_ORE_TOOMUCH,				"There is too much ore to combine.")
MSG(ITEMUSE_PICKPOCKET_FAIL,			"You carelessly bump the dip and start it swinging.")
MSG(ITEMUSE_PICKPOCKET_MOUNT,			"You can't practice on this while on a mount.")
MSG(ITEMUSE_PICKPOCKET_SKILL,			"Your ability to steal cannot improve any further by simply practicing on a dummy.")
MSG(ITEMUSE_PICKPOCKET_SUCCESS,			"You successfully avoid disturbing the dip while searching it.")
MSG(ITEMUSE_PICKPOCKET_TOOFAR,			"You are too far away to do that.")
MSG(ITEMUSE_PITCHER_FILL,				"Fill pitcher with some liquid.")
MSG(ITEMUSE_PITCHER_REACH,				"You can't reach this.")
MSG(ITEMUSE_PITCHER_TARG,				"Where do you want to use the %s?")
MSG(ITEMUSE_PORT_LOCKED,				"You can't move the gate.")
MSG(ITEMUSE_POTION_FAIL,				"You can't move the item.")
MSG(ITEMUSE_SCISSORS_USE,				"Use scissors on hair or cloth to cut")
MSG(ITEMUSE_SEWKIT_PROMT,				"What do you want to use the %s on?")
MSG(ITEMUSE_SEXTANT,					"I am in %s, %s")
MSG(ITEMUSE_SEXTANT_T2A,				"I cannot tell where I'm at.")
MSG(ITEMUSE_SHIPSIDE,					"That is locked.")
MSG(ITEMUSE_SHRINE,						"You have a feeling of holiness")
MSG(ITEMUSE_SKIT_UNABLE,				"You can't use a sewing kit on that.")
MSG(ITEMUSE_SPAWN_NEG,					"You negate the spawn.")
MSG(ITEMUSE_SPAWN_RESET,				"You negate the spawn and activate it.")
MSG(ITEMUSE_SPINWHEEL,					"Use wool or cotton on spinning wheels")
MSG(ITEMUSE_SPYGLASS_FE,				"Felucca is in the %s phase.")
MSG(ITEMUSE_SPYGLASS_M1,				"new moon")
MSG(ITEMUSE_SPYGLASS_M2,				"waxing crescent")
MSG(ITEMUSE_SPYGLASS_M3,				"first quarter")
MSG(ITEMUSE_SPYGLASS_M4,				"waxing gibbous")
MSG(ITEMUSE_SPYGLASS_M5,				"full moon")
MSG(ITEMUSE_SPYGLASS_M6,				"waning gibbous")
MSG(ITEMUSE_SPYGLASS_M7,				"third quarter")
MSG(ITEMUSE_SPYGLASS_M8,				"waning crescent")
MSG(ITEMUSE_SPYGLASS_TR,				"Trammel is in the %s phase.")
MSG(ITEMUSE_STEAL,						"You must steal this first.")
MSG(ITEMUSE_SWEB_STUCK,					"You are stuck on the %s")
MSG(ITEMUSE_TRAININGDUMMY_MOUNT,		"You can't practice on this while on a mount.")
MSG(ITEMUSE_TRAININGDUMMY_RANGED,		"You can't practice ranged weapons on this.")
MSG(ITEMUSE_TRAININGDUMMY_SKILL,		"Your skill cannot improve any further by simply practicing with a dummy.")
MSG(ITEMUSE_TRAININGDUMMY_TOOFAR,		"You are too far away to do that.")
MSG(ITEMUSE_TILLERMAN,					"Arrg stop that.")
MSG(ITEMUSE_TOOFAR,						"Target is too far away")
MSG(ITEMUSE_TRACKER_ATTUNE,				"Who do you want to attune to ?")
MSG(ITEMUSE_TRASHCAN,					"You trash the item. It will decay in 15 seconds.")
MSG(ITEMUSE_UNABLE,						"You can't think of a way to use that item.")
MSG(ITEMUSE_WEAPON_IMMUNE,				"It appears immune to your blow")
MSG(ITEMUSE_WEAPON_PROMT,				"What do you want to use this on?")
MSG(ITEMUSE_WEAPON_WWAIT,				"You must wait for the wool to grow back")
MSG(ITEMUSE_WOOL_CREATE,				"You create some yarn.")
MSG(LOCKPICKING_NOPICK,					"You need a lock pick.")
MSG(LOCKPICKING_PREACH,					"Your pick must be on your person.")
MSG(LOCKPICKING_REACH,					"You can't reach that.")
MSG(LOCKPICKING_WITEM,					"Use the lock pick on a lockable item.")
MSG(LOGIN_LASTLOGGED,					"Last logged: %s")
MSG(LUMBERJACKING_CLOSE,				"You cannot chop so close to yourself.")
MSG(LUMBERJACKING_KINDLING_SUCCESS,		"You put some kindling into your backpack.")
MSG(LUMBERJACKING_KINDLING_AXE,			"An axe would probably get you more wood.")
MSG(LUMBERJACKING_LOS,					"You cannot see that location.")
MSG(LUMBERJACKING_NORESOURCE,			"There's not enough wood here to harvest.")
MSG(LUMBERJACKING_REACH,				"That is too far away.")
MSG(LUMBERJACKING_SUCCESS,				"You chop some %s and put them into your backpack.")
MSG(MAGERY_1,							"You cannot target an item with this spell.")
MSG(MAGERY_2,							"You cannot target a character with this spell.")
MSG(MAGERY_3,							"You cannot target yourself with this spell.")
MSG(MAGERY_4,							"You must target the ground with this spell.")
MSG(MAGERY_5,							"You have not yet finished preparing the spell.")
MSG(MAGERY_6,							"An anti-magic field disturbs the spell.")
MSG(MAGERY_7,							"You cannot target a player with this spell.")
MSG(MAGERY_8,							"You cannot target an NPC with this spell.")
MSG(MAKESUCCESS_1,						"Due to your poor skill, the item is of shoddy quality")
MSG(MAKESUCCESS_2,						"You were barely able to make this item. It is of poor quality")
MSG(MAKESUCCESS_3,						"You make the item, but it is of below average quality")
MSG(MAKESUCCESS_4,						"The item is of above average quality")
MSG(MAKESUCCESS_5,						"The item is of excellent quality")
MSG(MAKESUCCESS_6,						"Due to your exceptional skill, the item is of superior quality")
MSG(MACRO_OPENDOOR,						"Opening door...")
MSG(MEDITATION_PEACE_1,					"You are at peace.")
MSG(MEDITATION_PEACE_2,					"You are at peace.")
MSG(MEDITATION_TRY,						"You attempt a meditative trance.")
MSG(MINING_CLOSE,						"You cannot mine so close to yourself.")
MSG(MINING_LOS,							"You cannot see that location.")
MSG(MINING_NORESOURCE,					"There is no metal here to mine.")
MSG(MINING_REACH,						"That is too far away.")
MSG(MINING_SUCCESS,						"You dig some %s and put it in your backpack.")
MSG(MSG_ACC_AGE,						"This account is %d months old.")
MSG(MSG_ACC_BADPASS,					"Bad password for this account.")
MSG(MSG_ACC_BLOCK,						"Account '%s' blocked")
MSG(MSG_ACC_BLOCKED,					"Account blocked. Send email to admin %s.")
MSG(MSG_ACC_DENIED,						"Sorry, but your access has been denied.")
MSG(MSG_ACC_GUSED,						"All guest accounts are currently used.")
MSG(MSG_ACC_KICK,						"A'%s' was %sed by '%s'")
MSG(MSG_ACC_NEEDPASS,					"Must supply a password.")
MSG(MSG_ACC_PRIV,						"You are not privileged to do that")
MSG(MSG_ACC_UNK,						"Unknown account name '%s'. Try using a 'guest' account.")
MSG(MSG_ACC_WCLI,						"Bad login format. Check Client Version '%s' ?")
MSG(MSG_ACC_PASSCLEAR,					"Password has been cleared.")
MSG(MSG_ACC_PASSCLEAR_RELOG,			"Log out, then back in to set the new password.")
MSG(MSG_ACC_ACCEPTPASS,					"Password has been set.")
MSG(MSG_ACC_INVALIDPASS,				"Invalid password.")
MSG(MSG_ACC_GUESTHIT,					"The guest curse strikes you.")
MSG(MSG_ALREADYONLINE,					"Already online")
MSG(MSG_ARRDEP_1,						"%s has %s %s.")
MSG(MSG_ARRDEP_2,						"arrived in")
MSG(MSG_ARRDEP_3,						"departed from")
MSG(MSG_BOUNCE_PACK,					"in your pack")
MSG(MSG_CANTPUSH,						"You are not strong enough to push %s out of the way.")
MSG(MSG_CORPSE_NPC,						"%s corpse")
MSG(MSG_CORPSE_PLAYER,					"corpse of %s")
MSG(MSG_COWARD_1,						"You have retreated from the battle with %s")
MSG(MSG_COWARD_2,						"%s has retreated from the battle.")
MSG(MSG_EATSOME,						"eat some %s")
MSG(MSG_EMOTE_1,						"*You see %ss %s %s*")
MSG(MSG_EMOTE_2,						"*Your %s %s*")
MSG(MSG_EMOTE_5,						"*You see %s %s*")
MSG(MSG_EMOTE_6,						"*You %s*")
MSG(MSG_EMOTE_7,						"*You see %s %s*")
MSG(MSG_ERR_INVSET,						"Invalid Set")
MSG(MSG_ERR_NOBLANKRING,				"You can't put blank keys on a keyring.")
MSG(MSG_ERR_NOT4SALE,					"That's not a saleable item.")
MSG(MSG_ERR_NOTGAMEPIECE,				"That is not a game piece")
MSG(MSG_ERR_NOTKEY,						"This is not a key.")
MSG(MSG_EXP_CHANGE_0,					"You have %s %s experience.")
MSG(MSG_EXP_CHANGE_1,					"a bit of")
MSG(MSG_EXP_CHANGE_2,					"a small amount of")
MSG(MSG_EXP_CHANGE_3,					"a little")
MSG(MSG_EXP_CHANGE_4,					"some")
MSG(MSG_EXP_CHANGE_5,					"a moderate amount of")
MSG(MSG_EXP_CHANGE_6,					"alot of")
MSG(MSG_EXP_CHANGE_7,					"large amounts of")
MSG(MSG_EXP_CHANGE_8,					"huge amounts of")
MSG(MSG_EXP_CHANGE_GAIN,				"gained")
MSG(MSG_EXP_CHANGE_LOST,				"lost")
MSG(MSG_EXP_LVLCHANGE_0,				"You have %s a level")
MSG(MSG_EXP_LVLCHANGE_1,				"You have %s some levels")
MSG(MSG_EXP_LVLCHANGE_GAIN,				"gained")
MSG(MSG_EXP_LVLCHANGE_LOST,				"lost")
MSG(MSG_FATIGUE,						"You are too fatigued to move.")
MSG(MSG_FEET,							"at your feet. It is too heavy.")
MSG(MSG_FIGURINE_NOTYOURS,				"This figurine is not yours")
MSG(MSG_FOLLOW_ARROW,					"Follow the Arrow")
MSG(MSG_FOOD_LVL_1,						"starving")
MSG(MSG_FOOD_LVL_2,						"very hungry")
MSG(MSG_FOOD_LVL_3,						"hungry")
MSG(MSG_FOOD_LVL_4,						"fairly content")
MSG(MSG_FOOD_LVL_5,						"content")
MSG(MSG_FOOD_LVL_6,						"fed")
MSG(MSG_FOOD_LVL_7,						"well fed")
MSG(MSG_FOOD_LVL_8,						"stuffed")
MSG(MSG_FOOD_LVL_LOOKS,					"looks %s")
MSG(MSG_FOOD_LVL_OTHER,					"%s looks %s")
MSG(MSG_FOOD_LVL_SELF,					"You are %s")
MSG(MSG_FORGIVEN,						"You have been forgiven")
MSG(MSG_FROZEN,							"You are frozen and can not move.")
MSG(MSG_GUARDS,							"Guards can now be called on you!")
MSG(MSG_GUARDS_NOLONGER,				"Guards can no longer be called on you.")
MSG(MSG_GUEST,							"Your guest curse prevents you from taking this action")
MSG(MSG_HEAVY,							"That is too heavy. You can't move that.")
MSG(MSG_HUNGER,							"You are %s")
MSG(MSG_ITEMPLACE,						"You put the %s %s.")
MSG(MSG_JAILED,							"You have been jailed")
MSG(MSG_KEY_BLANKS,						"Both keys are blank.")
MSG(MSG_KEY_CANTREACH,					"You can't reach it.")
MSG(MSG_KEY_DOORLOCKED,					"This door is locked.")
MSG(MSG_KEY_DUPEBANK,					"The duplicate key is in your bank account.")
MSG(MSG_KEY_FAILC,						"You fail to copy the key.")
MSG(MSG_KEY_ISBLANK,					"The key is a blank.")
MSG(MSG_KEY_NOLOCK,						"That does not have a lock.")
MSG(MSG_KEY_NOTBLANKS,					"To copy keys get a blank key")
MSG(MSG_KEY_SETNAME,					"What would you like to name the key?")
MSG(MSG_KEY_TARG,						"Use a key on a locked item or another key to copy.")
MSG(MSG_KEY_TARG_CONT_LOCK,				"You lock the container.")
MSG(MSG_KEY_TARG_CONT_ULOCK,			"You unlock the container.")
MSG(MSG_KEY_TARG_DOOR_LOCK,				"You lock the door.")
MSG(MSG_KEY_TARG_DOOR_ULOCK,			"You unlock the door.")
MSG(MSG_KEY_TARG_HOLD_LOCK,				"You lock the hold.")
